filmid,slug
47042,king-of-new-york
51472,troy
1183135,the-sheep-detectives
1255394,the-odyssey-2026
51935,the-big-lebowski
51507,the-last-samurai
51495,the-usual-suspects
51781,fargo
47181,money-talks
1167858,the-death-of-robin-hood
1159251,disclosure-day
976419,backrooms-2026
1234472,obsession-2025
1156910,scary-movie-2026
187975,room-2015
50702,vanilla-sky
51976,war-of-the-worlds
51312,close-encounters-of-the-third-kind
51871,minority-report
1199247,apex-2026
611288,project-hail-mary
1205494,the-drama
52512,the-master-2012
787849,peaky-blinders-the-immortal-man
51782,the-silence-of-the-lambs
51974,before-sunrise
508246,another-round
44741,the-hurt-locker
1104348,the-secret-agent-2025
51454,oldboy
49811,barry-lyndon
51890,oceans-eleven-2001
1005018,good-fortune-2025
1196911,wuthering-heights-2026
1041012,nirvanna-the-band-the-show-the-movie
1143390,eternity-2025-1
1084117,send-help
1156409,28-years-later-the-bone-temple
772232,hamnet
1284627,the-testament-of-ann-lee
70007,avatar-fire-and-ash
680739,the-smashing-machine-2025
1187446,the-rip-2026
1255319,the-housemaid-2025
1231801,splitsville
1197499,marty-supreme
1125033,roofman
51817,some-like-it-hot
1118277,anaconda-2025
729113,wake-up-dead-man
981077,relay-2024
760193,red-one
51380,home-alone-2-lost-in-new-york
593280,havoc-2025
531894,den-of-thieves-2-pantera
45672,this-is-spinal-tap
51770,casablanca
1013357,sentimental-value-2025
964438,jay-kelly
565952,no-other-choice-2025
1090464,sorry-baby-2025
1125383,train-dreams
574595,eddington
1129199,caught-stealing
51886,back-to-the-future-part-ii
51945,back-to-the-future
1024562,materialists
871148,wicked-for-good
51469,paris-texas
1172787,a-house-of-dynamite
958100,frankenstein-2025
1333498,it-was-just-an-accident
1181463,blue-moon-2025
1301704,the-moment-2026
1170433,pillion-2025
1149140,after-the-hunt-2025
1122691,friendship-2024
1124701,warfare
620281,mickey-17
992786,28-years-later
951277,one-battle-after-another
1116755,black-bag-2025
543967,the-fantastic-4-first-steps
957050,superman-2025
