slug,best_pic
one-battle-after-another,0
sinners-2025,0
hamnet,0
frankenstein-2025,0
sentimental-value-2025,0
f1,0
kpop-demon-hunters,0
weapons-2025,0
mr-nobody-against-putin,0
avatar-fire-and-ash,0
marty-supreme,0
the-secret-agent-2025,0
bugonia,0
train-dreams,0
blue-moon-2025,0
if-i-had-legs-id-kick-you,0
it-was-just-an-accident,0
song-sung-blue-2025,0
zootopia-2,0
sirat-2025,0
the-perfect-neighbour,0
the-voice-of-hind-rajab,0
arco,0
the-alabama-solution,0
the-smashing-machine-2025,0
elio,0
come-see-me-in-the-good-light,0
kokuho,0
diane-warren-relentless,0
cutting-through-rocks,0
the-ugly-stepsister,0
the-lost-bus,0
jurassic-world-rebirth,0
viva-verdi,0
