user,slug,rating
BC,the-shawshank-redemption,4.5
BC,fast-five,3.5
BC,a-few-good-men,5.0
BC,stand-by-me,3.5
BC,whip-it,3.0
BC,pocahontas,4.0
BC,tony-2026,4.0
BC,creed,5.0
BC,game-change,2.5
BC,the-princess-bride,5.0
BC,thelma-louise,4.0
BC,wild-inside,4.0
BC,good-time,4.0
BC,once,4.5
BC,american-gangster,4.0
BC,the-odyssey-2026,5.0
BC,the-wind-rises,3.0
BC,the-secret-world-of-arrietty,4.0
BC,o-brother-where-art-thou,3.5
BC,notting-hill,3.5
BC,the-sheep-detectives,3.5
BC,project-hail-mary,3.5
BC,the-moment-2026,3.0
BC,obsession-2025,4.0
BC,scarface-1983,4.5
BC,casino,4.0
BC,your-name,4.0
BC,burn-after-reading,4.0
BC,casino-royale-2006,4.0
BC,pretty-woman,4.0
BC,moonrise-kingdom,4.0
BC,backrooms-2026,4.0
BC,jane-2017-1,4.0
BC,phantom-thread,4.5
BC,her,4.5
BC,old-school,3.5
BC,titanic-1997,5.0
BC,idiocracy,3.0
BC,sicario-2015,3.5
BC,memoirs-of-a-geisha,2.0
BC,wedding-crashers,4.0
BC,noah-kahan-out-of-body,3.0
BC,blade-runner-2049,4.0
BC,the-end-of-the-tour,4.0
BC,apocalypse-now,5.0
BC,blood-diamond,3.0
BC,10-things-i-hate-about-you,4.0
BC,the-drama,3.5
BC,perfect-blue,3.0
BC,the-town,4.0
BC,weapons-2025,3.5
BC,zootopia-2,2.5
BC,kokuho,4.0
BC,cutting-through-rocks,4.0
BC,sirat-2025,2.5
BC,nirvanna-the-band-the-show-the-movie,4.0
BC,the-alabama-solution,5.0
BC,viva-verdi,3.5
BC,blue-moon-2025,2.5
BC,pillion-2025,4.5
BC,mr-nobody-against-putin,3.5
BC,elio,2.0
BC,the-smashing-machine-2025,2.0
BC,the-testament-of-ann-lee,4.0
BC,jurassic-world-rebirth,2.5
BC,come-see-me-in-the-good-light,4.0
BC,it-was-just-an-accident,3.5
BC,the-perfect-neighbour,4.0
BC,saving-silverman,3.0
BC,goodfellas,4.0
BC,song-sung-blue-2025,3.5
BC,people-we-meet-on-vacation,2.5
BC,no-other-choice-2025,4.0
BC,is-this-thing-on-2025,4.0
BC,if-i-had-legs-id-kick-you,4.0
BC,avatar-fire-and-ash,3.5
BC,f1,4.0
BC,how-to-train-your-dragon-2025,3.5
BC,marty-supreme,4.5
BC,the-secret-agent-2025,2.0
BC,splitsville,3.0
BC,wake-up-dead-man,4.0
BC,hamnet,4.0
BC,train-dreams,2.0
BC,twinless,4.5
BC,the-phoenician-scheme,3.5
BC,superman-2025,3.0
BC,kpop-demon-hunters,3.5
BC,eternity-2025-1,4.0
BC,rental-family-2025,3.0
BC,wicked-for-good,3.5
BC,a-house-of-dynamite,3.0
BC,warfare,4.0
BC,frankenstein-2025,3.0
BC,sentimental-value-2025,4.5
BC,incredibles-2,3.5
BC,bugonia,3.5
BC,one-battle-after-another,4.0
BC,eddington,3.5
BC,roofman,4.0
BC,the-shining,4.5
BC,youve-got-mail,4.5
BC,rush-hour,4.0
BC,election,5.0
BC,sorry-baby-2025,4.0
BC,shakespeare-in-love,4.0
BC,us-2019,3.5
BC,anatomy-of-a-fall,3.0
BC,the-holdovers,4.5
BC,batman-begins,4.5
BC,the-departed,4.5
BC,the-hangover,4.0
BC,the-big-short,4.0
BC,the-dark-knight-rises,4.0
BC,raising-arizona,3.5
BC,mean-girls,5.0
BC,sideways,5.0
BC,the-big-lebowski,4.5
BC,la-la-land,4.5
BC,best-in-show,3.5
BC,the-sound-of-music,4.5
BC,the-graduate,3.0
BC,fargo,5.0
BC,before-midnight,3.5
BC,freaky-friday-2003,2.5
BC,waitress,3.0
BC,the-naked-gun,4.0
BC,almost-famous,4.0
BC,my-big-fat-greek-wedding,4.0
BC,brokeback-mountain,4.5
BC,materialists,4.5
BC,fast-furious,2.5
BC,black-bag-2025,2.0
BC,friendship-2024,4.0
BC,the-fast-and-the-furious-tokyo-drift,1.5
BC,2-fast-2-furious,3.0
BC,the-fast-and-the-furious-2001,3.5
BC,crouching-tiger-hidden-dragon,4.0
BC,children-of-men,5.0
BC,8-mile,4.0
BC,chicago,3.0
BC,sinners-2025,4.5
BC,erin-brockovich,4.5
BC,my-old-ass,2.5
BC,dating-amber,4.5
BC,black-box-diaries,4.5
BC,nickel-boys,4.0
BC,the-seed-of-the-sacred-fig,3.5
BC,elton-john-never-too-late,3.5
BC,no-other-land,4.5
BC,daughters,5.0
BC,one-of-them-days,3.5
BC,alien-romulus,2.5
BC,sing-sing-2023,4.5
BC,sugarcane,3.5
BC,little-women-2019,4.0
BC,anora,5.0
BC,the-wild-robot,4.5
BC,im-still-here-2024,4.0
BC,kneecap,4.0
BC,nosferatu-2024,4.0
BC,i-saw-the-tv-glow,3.0
BC,citizenfour,3.5
BC,flow-2024,3.5
BC,inside-out-2-2024,3.0
BC,emilia-perez,2.0
BC,the-brutalist,4.5
BC,memoir-of-a-snail,4.0
BC,the-outrun,3.5
BC,joker-folie-a-deux,1.5
BC,wallace-gromit-vengeance-most-fowl,3.5
BC,wicked-2024,5.0
BC,blitz-2024,2.0
BC,a-complete-unknown,3.0
BC,the-lighthouse-2019,3.0
BC,the-apprentice-2024,3.5
BC,thelma-2024,3.5
BC,the-holiday,4.0
BC,all-the-beauty-and-the-bloodshed,3.5
BC,civil-war-2024,3.0
BC,gladiator-ii,3.0
BC,queer-2024,1.5
BC,didi-2024,4.0
BC,the-wizard-of-oz-1939,4.0
BC,conclave,3.5
BC,the-substance,4.0
BC,a-real-pain,3.5
BC,miss-congeniality,4.0
BC,dune-part-two,5.0
BC,we-live-in-time,3.0
BC,blackberry-2023,3.5
BC,clueless,5.0
BC,in-bruges,4.5
BC,brave-2012,2.5
BC,alien,4.0
BC,before-sunset,4.5
BC,before-sunrise,3.5
BC,bottoms,2.5
BC,theater-camp-2023,4.0
BC,the-40-year-old-virgin,3.5
BC,inside-out-2015,3.0
BC,the-fall-guy-2024,2.0
BC,the-imitation-game,3.0
BC,palm-springs-2020,4.5
BC,marcel-the-shell-with-shoes-on-2021,4.5
BC,dune-2021,5.0
BC,the-batman,4.5
BC,oppenheimer-2023,4.0
BC,hit-man-2023,3.0
BC,mad-max-fury-road,4.0
BC,furiosa-a-mad-max-saga,4.0
BC,definitely-maybe,3.0
BC,challengers,4.0
BC,eternal-sunshine-of-the-spotless-mind,2.0
BC,marie-antoinette-2006,3.0
BC,les-miserables-2012,3.0
BC,the-greatest-showman,3.0
BC,mad-max,1.0
BC,golda-2023,2.5
BC,tar-2022,2.5
BC,poor-things-2023,3.5
BC,anyone-but-you,2.5
BC,saltburn,1.0
BC,mamma-mia,4.0
BC,the-hunger-games-catching-fire,4.0
BC,walle,4.0
BC,hereditary,4.0
BC,the-godfather,4.0
BC,django-unchained,4.0
BC,forrest-gump,4.5
BC,the-menu-2022,2.0
BC,the-truman-show,4.0
BC,pulp-fiction,4.0
BC,the-dark-knight,5.0
BC,the-social-network,5.0
BC,the-wolf-of-wall-street,4.0
BC,whiplash-2014,4.5
BC,knives-out-2019,4.5
BC,jojo-rabbit,4.5
BC,promising-young-woman,4.5
BC,nomadland,4.5
BC,summer-of-soul-or-when-the-revolution-could,3.5
BC,tick-tick-boom-2021,4.5
BC,the-emperors-new-groove,5.0
BC,godzilla-minus-one,4.0
BC,eighth-grade,4.0
BC,american-history-x,5.0
BC,elf,5.0
BC,school-of-rock,5.0
BC,crazy-stupid-love,4.0
BC,legally-blonde,4.5
BC,oceans-eleven-2001,4.5
BC,a-star-is-born-2018,4.5
BC,gladiator-2000,5.0
BC,die-hard,4.5
BC,sound-of-metal,4.5
BC,the-royal-tenenbaums,4.0
BC,the-zone-of-interest,4.0
BC,about-time,4.5
BC,pirates-of-the-caribbean-the-curse-of-the-black-pearl,4.5
BC,american-beauty,3.5
BC,twilight-2008,4.0
BC,i-tonya,4.0
BC,juno,4.0
BC,rogue-one-a-star-wars-story,4.0
BC,tangled-2010,4.5
BC,encanto,4.0
BC,ex-machina-2015,4.0
BC,the-prestige,4.5
BC,superbad,4.5
BC,the-lord-of-the-rings-the-two-towers,5.0
BC,the-incredibles,4.0
BC,the-lord-of-the-rings-the-return-of-the-king,5.0
BC,coraline,4.0
BC,nightcrawler,4.0
BC,the-breakfast-club,4.0
BC,the-banshees-of-inisherin,3.0
BC,killers-of-the-flower-moon,3.5
BC,uncut-gems,4.0
BC,moonlight-2016,4.0
BC,aftersun,4.0
BC,the-hunger-games,4.0
BC,little-miss-sunshine,4.5
BC,top-gun-maverick,4.0
BC,good-will-hunting,4.0
BC,past-lives,4.0
BC,the-lord-of-the-rings-the-fellowship-of-the-ring,5.0
BC,dead-poets-society,4.0
BC,fantastic-mr-fox,4.0
BC,the-matrix,5.0
BC,ratatouille,4.0
BC,call-me-by-your-name,4.5
BC,shutter-island,3.5
BC,the-silence-of-the-lambs,5.0
BC,lady-bird,3.5
BC,spider-man-across-the-spider-verse,4.0
BC,inception,4.5
BC,midsommar,4.0
BC,get-out-2017,4.0
BC,spider-man-into-the-spider-verse,4.0
BC,fight-club,4.0
BC,everything-everywhere-all-at-once,4.0
BC,barbie,4.0
BC,taylor-swift-the-eras-tour,0.0
BC,american-fiction,0.0
BC,no-hard-feelings-2023,0.0
BC,the-iron-claw-2023,0.0
BC,may-december,0.0
BC,bo-burnham-inside,0.0
BC,the-fabelmans,0.0
BC,wonka,0.0
BC,the-whale-2022,0.0
BC,belfast,0.0
BC,women-talking,0.0
BC,coda-2021,0.0
BC,drive-my-car,0.0
