slug,data-postered-identifier
hamnet,"{""lid"":""woVy"",""uid"":""film:772232"",""type"":""film"",""typeName"":""film""}"
one-battle-after-another,"{""lid"":""DUHM"",""uid"":""film:951277"",""type"":""film"",""typeName"":""film""}"
a-house-of-dynamite,"{""lid"":""NcXc"",""uid"":""film:1172787"",""type"":""film"",""typeName"":""film""}"
sentimental-value-2025,"{""lid"":""GwcG"",""uid"":""film:1013357"",""type"":""film"",""typeName"":""film""}"
sinners-2025,"{""lid"":""KQMM"",""uid"":""film:1116600"",""type"":""film"",""typeName"":""film""}"
marty-supreme,"{""lid"":""Off0"",""uid"":""film:1197499"",""type"":""film"",""typeName"":""film""}"
wicked-for-good,"{""lid"":""AyfK"",""uid"":""film:871148"",""type"":""film"",""typeName"":""film""}"
bugonia,"{""lid"":""qeWY"",""uid"":""film:625400"",""type"":""film"",""typeName"":""film""}"
the-secret-agent-2025,"{""lid"":""KkUE"",""uid"":""film:1104348"",""type"":""film"",""typeName"":""film""}"
frankenstein-2025,"{""lid"":""Ecsg"",""uid"":""film:958100"",""type"":""film"",""typeName"":""film""}"
avatar-fire-and-ash,"{""lid"":""2W7s"",""uid"":""film:70007"",""type"":""film"",""typeName"":""film""}"
song-sung-blue-2025,"{""lid"":""QMqO"",""uid"":""film:1257923"",""type"":""film"",""typeName"":""film""}"
is-this-thing-on-2025,"{""lid"":""H73Q"",""uid"":""film:1027525"",""type"":""film"",""typeName"":""film""}"
the-smashing-machine-2025,"{""lid"":""syUC"",""uid"":""film:680739"",""type"":""film"",""typeName"":""film""}"
jay-kelly,"{""lid"":""EsWw"",""uid"":""film:964438"",""type"":""film"",""typeName"":""film""}"
no-other-choice-2025,"{""lid"":""nKiA"",""uid"":""film:565952"",""type"":""film"",""typeName"":""film""}"
it-was-just-an-accident,"{""lid"":""TX2k"",""uid"":""film:1333498"",""type"":""film"",""typeName"":""film""}"
wake-up-dead-man,"{""lid"":""uAKS"",""uid"":""film:729113"",""type"":""film"",""typeName"":""film""}"
nuremberg-2025,"{""lid"":""K6qU"",""uid"":""film:1098782"",""type"":""film"",""typeName"":""film""}"
f1,"{""lid"":""yjVM"",""uid"":""film:817977"",""type"":""film"",""typeName"":""film""}"
father-mother-sister-brother,"{""lid"":""HRoU"",""uid"":""film:1045338"",""type"":""film"",""typeName"":""film""}"
springsteen-deliver-me-from-nowhere,"{""lid"":""KJG8"",""uid"":""film:1113868"",""type"":""film"",""typeName"":""film""}"
weapons-2025,"{""lid"":""EMTM"",""uid"":""film:972109"",""type"":""film"",""typeName"":""film""}"
anemone-2025,"{""lid"":""QxVi"",""uid"":""film:1252346"",""type"":""film"",""typeName"":""film""}"
the-testament-of-ann-lee,"{""lid"":""RTTU"",""uid"":""film:1284627"",""type"":""film"",""typeName"":""film""}"
late-fame,"{""lid"":""N3Eg"",""uid"":""film:1169210"",""type"":""film"",""typeName"":""film""}"
nouvelle-vague-2025,"{""lid"":""LLLQ"",""uid"":""film:1138505"",""type"":""film"",""typeName"":""film""}"
the-voice-of-hind-rajab,"{""lid"":""UXdO"",""uid"":""film:1357402"",""type"":""film"",""typeName"":""film""}"
rental-family-2025,"{""lid"":""JQOw"",""uid"":""film:1092778"",""type"":""film"",""typeName"":""film""}"
roofman,"{""lid"":""LcIW"",""uid"":""film:1125033"",""type"":""film"",""typeName"":""film""}"
if-i-had-legs-id-kick-you,"{""lid"":""HUtS"",""uid"":""film:1046522"",""type"":""film"",""typeName"":""film""}"
arco,"{""lid"":""uh7C"",""uid"":""film:721566"",""type"":""film"",""typeName"":""film""}"
in-your-dreams-2025,"{""lid"":""Ghcw"",""uid"":""film:1007590"",""type"":""film"",""typeName"":""film""}"
kpop-demon-hunters,"{""lid"":""ufwK"",""uid"":""film:720953"",""type"":""film"",""typeName"":""film""}"
little-amelie-or-the-character-of-rain,"{""lid"":""prg0"",""uid"":""film:606298"",""type"":""film"",""typeName"":""film""}"
zootopia-2,"{""lid"":""F0vO"",""uid"":""film:977342"",""type"":""film"",""typeName"":""film""}"
train-dreams,"{""lid"":""LdDo"",""uid"":""film:1125383"",""type"":""film"",""typeName"":""film""}"
kiss-of-the-spider-woman-2025,"{""lid"":""K6Ag"",""uid"":""film:1098840"",""type"":""film"",""typeName"":""film""}"
how-to-train-your-dragon-2025,"{""lid"":""F7Je"",""uid"":""film:980116"",""type"":""film"",""typeName"":""film""}"
superman-2025,"{""lid"":""E9IU"",""uid"":""film:957050"",""type"":""film"",""typeName"":""film""}"
tron-ares,"{""lid"":""jqdM"",""uid"":""film:462903"",""type"":""film"",""typeName"":""film""}"
the-life-of-chuck,"{""lid"":""vMTu"",""uid"":""film:757612"",""type"":""film"",""typeName"":""film""}"
after-the-hunt-2025,"{""lid"":""Mdra"",""uid"":""film:1149140"",""type"":""film"",""typeName"":""film""}"
ballad-of-a-small-player,"{""lid"":""MuZ4"",""uid"":""film:1155885"",""type"":""film"",""typeName"":""film""}"
die-my-love,"{""lid"":""D5cI"",""uid"":""film:931480"",""type"":""film"",""typeName"":""film""}"
the-lost-bus,"{""lid"":""KYKE"",""uid"":""film:1119662"",""type"":""film"",""typeName"":""film""}"
sound-of-falling,"{""lid"":""Km9K"",""uid"":""film:1104826"",""type"":""film"",""typeName"":""film""}"
the-history-of-sound,"{""lid"":""xFY2"",""uid"":""film:802615"",""type"":""film"",""typeName"":""film""}"
the-wizard-of-the-kremlin,"{""lid"":""NhhA"",""uid"":""film:1174451"",""type"":""film"",""typeName"":""film""}"
pressure-2026,"{""lid"":""Oj4A"",""uid"":""film:1198972"",""type"":""film"",""typeName"":""film""}"
hedda-2025,"{""lid"":""BGME"",""uid"":""film:898260"",""type"":""film"",""typeName"":""film""}"
highest-2-lowest,"{""lid"":""LcIC"",""uid"":""film:1125031"",""type"":""film"",""typeName"":""film""}"
eternity-2025-1,"{""lid"":""LYtK"",""uid"":""film:1143390"",""type"":""film"",""typeName"":""film""}"
sorry-baby-2025,"{""lid"":""JKNi"",""uid"":""film:1090464"",""type"":""film"",""typeName"":""film""}"
mother-mary-2026,"{""lid"":""FILw"",""uid"":""film:994353"",""type"":""film"",""typeName"":""film""}"
at-the-sea,"{""lid"":""MOkq"",""uid"":""film:1163321"",""type"":""film"",""typeName"":""film""}"
materialists,"{""lid"":""GZlW"",""uid"":""film:1024562"",""type"":""film"",""typeName"":""film""}"
the-phoenician-scheme,"{""lid"":""H0Ca"",""uid"":""film:1025047"",""type"":""film"",""typeName"":""film""}"
28-years-later,"{""lid"":""FEGM"",""uid"":""film:992786"",""type"":""film"",""typeName"":""film""}"
eddington,"{""lid"":""o6MC"",""uid"":""film:574595"",""type"":""film"",""typeName"":""film""}"
the-roses-2025,"{""lid"":""MjnI"",""uid"":""film:1151425"",""type"":""film"",""typeName"":""film""}"
caught-stealing,"{""lid"":""LnyS"",""uid"":""film:1129199"",""type"":""film"",""typeName"":""film""}"
blue-moon-2025,"{""lid"":""Nzwy"",""uid"":""film:1181463"",""type"":""film"",""typeName"":""film""}"
the-wave-2025,"{""lid"":""KHHo"",""uid"":""film:1113107"",""type"":""film"",""typeName"":""film""}"
mickey-17,"{""lid"":""q1Dk"",""uid"":""film:620281"",""type"":""film"",""typeName"":""film""}"
twinless,"{""lid"":""LkKc"",""uid"":""film:1128116"",""type"":""film"",""typeName"":""film""}"
warfare,"{""lid"":""LbRo"",""uid"":""film:1124701"",""type"":""film"",""typeName"":""film""}"
mission-impossible-the-final-reckoning,"{""lid"":""l7A2"",""uid"":""film:503403"",""type"":""film"",""typeName"":""film""}"
splitsville,"{""lid"":""PGtA"",""uid"":""film:1231801"",""type"":""film"",""typeName"":""film""}"
pillion-2025,"{""lid"":""N6Pw"",""uid"":""film:1170433"",""type"":""film"",""typeName"":""film""}"
friendship-2024,"{""lid"":""L6Dc"",""uid"":""film:1122691"",""type"":""film"",""typeName"":""film""}"
bad-apples-2025,"{""lid"":""JseO"",""uid"":""film:1083331"",""type"":""film"",""typeName"":""film""}"
the-mastermind-2025,"{""lid"":""Q7ge"",""uid"":""film:1242097"",""type"":""film"",""typeName"":""film""}"
sirat-2025,"{""lid"":""HxJo"",""uid"":""film:1037777"",""type"":""film"",""typeName"":""film""}"
the-naked-gun,"{""lid"":""Da9k"",""uid"":""film:933381"",""type"":""film"",""typeName"":""film""}"
black-bag-2025,"{""lid"":""KRbM"",""uid"":""film:1116755"",""type"":""film"",""typeName"":""film""}"
peter-hujars-day,"{""lid"":""HSdo"",""uid"":""film:1045651"",""type"":""film"",""typeName"":""film""}"
the-plague-2025,"{""lid"":""QMbO"",""uid"":""film:1257830"",""type"":""film"",""typeName"":""film""}"
lucky-lu,"{""lid"":""TPIM"",""uid"":""film:1330686"",""type"":""film"",""typeName"":""film""}"
elio,"{""lid"":""CFr8"",""uid"":""film:921575"",""type"":""film"",""typeName"":""film""}"
diane-warren-relentless,"{""lid"":""v9q4"",""uid"":""film:742438"",""type"":""film"",""typeName"":""film""}"
viva-verdi,"{""lid"":""QkH8"",""uid"":""film:1247261"",""type"":""film"",""typeName"":""film""}"
jurassic-world-rebirth,"{""lid"":""KUeE"",""uid"":""film:1117926"",""type"":""film"",""typeName"":""film""}"
kokuho,"{""lid"":""R6yo"",""uid"":""film:1265658"",""type"":""film"",""typeName"":""film""}"
the-ugly-stepsister,"{""lid"":""MZBM"",""uid"":""film:1167657"",""type"":""film"",""typeName"":""film""}"
the-alabama-solution,"{""lid"":""Slqc"",""uid"":""film:1295206"",""type"":""film"",""typeName"":""film""}"
